department,department_name,division,gender,base_salary,2024_overtime_pay,2024_longevity_pay,grade,total_pay,ot_ratio
ABS,Alcohol Beverage Services,ABS 85 IT Administration,M,169555.0,0.0,0.0,M3,169555.0,0.0
CUS,Community Use of Public Facilities,CUS 70 Finance and Administrative Support Team,F,141876.93,0.0,0.0,M3,141876.93,0.0
DGS,Department of General Services,DGS 36 Fleet Management Services,F,87523.0,748.37,2701.48,16,90972.84999999999,0.008550552426219394
CEX,Offices of the County Executive,CEX 15 Chief Administrative Officer's Office,F,207000.0,0.0,0.0,EX2,207000.0,0.0
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,91392.0,0.0,5733.27,N17,97125.27,0.0
OAG,Office of Agriculture,OAG 78 Agricultural Services,F,108899.0,0.0,3361.18,N21,112260.18,0.0
COR,Correction and Rehabilitation,COR 42 MSD Fiscal Services,F,160088.68,0.0,0.0,M3,160088.68,0.0
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,130181.0,0.0,8166.53,N25,138347.53,0.0
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197.0,0.0,3216.0,20,107413.0,0.0
DGS,Department of General Services,DGS 36 Real Estate Office,F,169555.0,0.0,0.0,M3,169555.0,0.0
DOT,Department of Transportation,DOT 50 Transit COS Taxicab Regulation,F,108899.0,0.0,4045.18,21,112944.18,0.0
SHF,Sheriff's Office,SHF 48 Administration,F,125647.51,1053.19,0.0,N25,126700.7,0.008382100051166953
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,119032.0,0.0,1184.88,N23,120216.88,0.0
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,194980.0,0.0,0.0,M2,194980.0,0.0
OHR,Office of Human Resources,OHR 33 Administrative Services Team,F,194980.0,0.0,0.0,M2,194980.0,0.0
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,119032.0,0.0,7467.13,N23,126499.13,0.0
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,130181.0,0.0,8166.53,N25,138347.53,0.0
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,95458.0,0.0,5988.2,18,101446.2,0.0
IGR,Office of Intergovernmental Relations Department,IGR 20 Office of Intergovernmental Relations,F,108899.0,21.28,0.0,N21,108920.28,0.00019541042617471236
DOT,Department of Transportation,DOT 50 Director Management Services,F,119032.0,0.0,7467.13,N23,126499.13,0.0
DGS,Department of General Services,DGS 36 Building Design and Construction,F,149112.0,0.0,9354.05,28,158466.05,0.0
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,217359.0,0.0,0.0,M1,217359.0,0.0
FIN,Department of Finance,FIN 32 Accounts Payable,M,130181.0,0.0,650.92,N25,130831.92,0.0
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,136188.0,0.0,0.0,N26,136188.0,0.0
POL,Department of Police,POL 47 MSB Training and Education Division,M,115223.0,4110.9,12285.18,P4,131619.08,0.03567777266691546
DOT,Department of Transportation,DOT 50 Highway Services,F,83837.0,17425.48,5259.22,15,106521.7,0.20784951751613248
DGS,Department of General Services,DGS 36 Building Design and Construction,F,138535.0,0.0,0.0,N28,138535.0,0.0
DGS,Department of General Services,DGS 36 Fleet Management Administration,M,194980.0,0.0,0.0,M2,194980.0,0.0
DEP,Department of Environmental Protection,DEP 80 Waste Reduction and Recycling,F,169555.0,0.0,0.0,M3,169555.0,0.0
BOA,Board of Appeals Department,BOA 02 Board of Appeals Division,F,95458.0,0.0,5988.2,N18,101446.2,0.0
COR,Correction and Rehabilitation,COR 42 MSD Fiscal Services,F,127509.43,0.0,7845.63,N26,135355.06,0.0
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,108899.0,0.0,9070.24,21,117969.24,0.0
HCA,Department of Housing and Community Affairs,HCA 76 Finance and Administration Division,F,119032.0,0.0,7467.13,N23,126499.13,0.0
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,M,217338.65,0.0,0.0,M1,217338.65,0.0
DPS,Department of Permitting Services,DPS 75 Customer Support,M,91392.0,22.91,8740.19,17,100155.1,0.0002506783963585434
PRO,Office of Procurement,PRO 35 Procurement Services Section,M,87523.0,0.0,5490.56,16,93013.56,0.0
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,123385.21,0.0,0.0,N25,123385.21,0.0
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,87523.0,5779.52,7939.98,16,101242.5,0.0660342995555454
FIN,Department of Finance,FIN 32 General Accounting,F,130181.0,0.0,8166.53,N25,138347.53,0.0
FRS,Fire and Rescue Services,FRS 45 Procurement,F,87523.0,0.0,8370.23,16,95893.23,0.0
